filename,vowel,Duratian,F1,F2
Stephan_Engl_casual_speach.wav,i,0.120,278.19,2003.60
Stephan_Engl_casual_speach.wav,i,0.131,301.69,1985.32
Stephan_Engl_casual_speach.wav,i,0.136,307.52,2026.80
Stephan_Engl_casual_speach.wav,i,0.115,251.42,2024.16
Stephan_Engl_casual_speach.wav,i,0.133,273.90,2018.22
Stephan_Engl_casual_speach.wav,i,0.105,327.34,1943.82
Stephan_Engl_casual_speach.wav,i,0.108,308.66,1984.09
Stephan_Engl_casual_speach.wav,i,0.160,324.76,1958.36
Stephan_Engl_casual_speach.wav,i,0.135,295.02,1925.77
Stephan_Engl_casual_speach.wav,i,0.100,323.20,1972.78
Stephan_Engl_casual_speach.wav,u,0.139,297.29,885.76
Stephan_Engl_casual_speach.wav,u,0.061,329.74,1499.74
Stephan_Engl_casual_speach.wav,u,0.105,313.56,1158.06
Stephan_Engl_casual_speach.wav,u,0.085,266.00,1046.69
Stephan_Engl_casual_speach.wav,u,0.108,269.41,814.31
Stephan_Engl_casual_speach.wav,u,0.102,330.80,754.32
Stephan_Engl_casual_speach.wav,u,0.143,288.22,1087.60
Stephan_Engl_casual_speach.wav,u,0.091,324.72,1333.13
Stephan_Engl_casual_speach.wav,u,0.107,355.96,679.13
Stephan_Engl_casual_speach.wav,u,0.228,269.31,668.63
Stephan_Engl_casual_speach.wav,e,0.088,527.13,1674.24
Stephan_Engl_casual_speach.wav,e,0.096,574.36,1775.24
Stephan_Engl_casual_speach.wav,e,0.089,535.63,1617.53
Stephan_Engl_casual_speach.wav,e,0.093,499.37,1830.25
Stephan_Engl_casual_speach.wav,e,0.096,530.37,1605.03
Stephan_Engl_casual_speach.wav,e,0.124,810.38,1999.66
Stephan_Engl_casual_speach.wav,e,0.104,497.94,1799.30
Stephan_Engl_casual_speach.wav,e,0.113,570.90,1555.62
Stephan_Engl_casual_speach.wav,e,0.116,534.16,1668.41
Stephan_Engl_casual_speach.wav,e,0.115,289.28,1776.55
Stephan_Engl_casual_speach.wav,a,0.159,563.77,959.27
Stephan_Engl_casual_speach.wav,a,0.093,565.11,1138.31
Stephan_Engl_casual_speach.wav,a,0.069,593.94,1234.22
Stephan_Engl_casual_speach.wav,a,0.083,665.89,1130.36
Stephan_Engl_casual_speach.wav,a,0.072,581.46,926.13
Stephan_Engl_casual_speach.wav,a,0.098,574.19,1350.68
Stephan_Engl_casual_speach.wav,a,0.091,631.19,1165.85
Stephan_Engl_casual_speach.wav,a,0.104,537.60,851.79
Stephan_Engl_casual_speach.wav,a,0.097,585.90,1019.95
Stephan_Engl_casual_speach.wav,a,0.160,520.18,1198.76
Stephan_Engl_clear_speach.wav,i,0.169,270.02,2101.33
Stephan_Engl_clear_speach.wav,i,0.177,281.70,2112.21
Stephan_Engl_clear_speach.wav,i,0.168,322.37,2140.40
Stephan_Engl_clear_speach.wav,i,0.170,280.64,2171.95
Stephan_Engl_clear_speach.wav,i,0.165,303.34,2115.07
Stephan_Engl_clear_speach.wav,i,0.135,251.05,2092.97
Stephan_Engl_clear_speach.wav,i,0.173,233.12,2128.74
Stephan_Engl_clear_speach.wav,i,0.196,240.20,2109.39
Stephan_Engl_clear_speach.wav,i,0.152,311.05,2086.61
Stephan_Engl_clear_speach.wav,i,0.121,315.02,2092.11
Stephan_Engl_clear_speach.wav,u,0.146,315.30,1122.50
Stephan_Engl_clear_speach.wav,u,0.118,311.09,1173.44
Stephan_Engl_clear_speach.wav,u,0.152,367.82,1317.72
Stephan_Engl_clear_speach.wav,u,0.185,254.62,1135.55
Stephan_Engl_clear_speach.wav,u,0.151,338.00,990.42
Stephan_Engl_clear_speach.wav,u,0.152,314.91,862.44
Stephan_Engl_clear_speach.wav,u,0.211,359.64,1039.91
Stephan_Engl_clear_speach.wav,u,0.165,348.30,1068.95
