filename	vowel	Duration	F1	F2	F3
LUC_Engl_casual_speach.wav	i	0.170	307.13	1844.52	2480.03
LUC_Engl_casual_speach.wav	i	0.236	301.59	1888.30	2419.78
LUC_Engl_casual_speach.wav	i	0.162	284.84	2115.87	2412.13
LUC_Engl_casual_speach.wav	i	0.149	283.51	1995.81	2639.98
LUC_Engl_casual_speach.wav	i	0.167	296.21	2108.74	2741.62
LUC_Engl_casual_speach.wav	i	0.176	297.47	2072.02	2657.48
LUC_Engl_casual_speach.wav	i	0.149	320.43	2123.16	2914.19
LUC_Engl_casual_speach.wav	i	0.178	304.18	2092.70	2936.95
LUC_Engl_casual_speach.wav	i	0.145	296.15	1982.77	2609.59
LUC_Engl_casual_speach.wav	i	0.148	281.59	2154.64	2798.00
LUC_Engl_casual_speach.wav	u	0.152	364.74	1562.16	2170.93
LUC_Engl_casual_speach.wav	u	0.088	347.44	1573.87	2370.53
LUC_Engl_casual_speach.wav	u	0.050	335.29	1785.58	2299.14
LUC_Engl_casual_speach.wav	u	0.067	347.15	1725.90	2371.83
LUC_Engl_casual_speach.wav	u	0.163	343.74	1408.93	2744.38
LUC_Engl_casual_speach.wav	u	0.110	323.88	1035.07	2197.15
LUC_Engl_casual_speach.wav	u	0.173	347.21	1230.41	2176.20
LUC_Engl_casual_speach.wav	u	0.125	352.22	1315.84	2185.11
LUC_Engl_casual_speach.wav	u	0.124	345.35	1280.09	2401.51
LUC_Engl_casual_speach.wav	u	0.115	371.42	1077.17	2425.17
LUC_Engl_casual_speach.wav	e	0.084	597.83	1652.42	2643.59
LUC_Engl_casual_speach.wav	e	0.088	536.16	1589.97	2601.14
LUC_Engl_casual_speach.wav	e	0.085	512.55	1566.31	2613.07
LUC_Engl_casual_speach.wav	e	0.101	535.60	1684.07	2607.18
LUC_Engl_casual_speach.wav	e	0.106	529.94	1575.44	2627.79
LUC_Engl_casual_speach.wav	e	0.107	535.71	1617.35	2582.36
LUC_Engl_casual_speach.wav	e	0.117	559.78	1647.42	2454.61
LUC_Engl_casual_speach.wav	e	0.033	557.80	1586.43	2499.14
LUC_Engl_casual_speach.wav	e	0.098	549.53	1633.46	2409.04
LUC_Engl_casual_speach.wav	e	0.075	478.85	1609.07	2551.06
LUC_Engl_casual_speach.wav	o	0.104	697.11	1028.17	2460.85
LUC_Engl_casual_speach.wav	o	0.103	670.93	1115.53	2477.92
LUC_Engl_casual_speach.wav	o	0.134	685.55	1216.23	2711.87
LUC_Engl_casual_speach.wav	o	0.143	699.07	1220.55	2770.27
LUC_Engl_casual_speach.wav	o	0.127	801.75	1070.67	2697.69
LUC_Engl_casual_speach.wav	o	0.132	634.52	1177.95	2592.73
LUC_Engl_casual_speach.wav	o	0.143	648.67	1118.92	2599.56
LUC_Engl_casual_speach.wav	o	0.130	929.26	967.08	2644.63
