type,mean,stand dev
English casual a F1,729.08,84.58828370406863
English casual a F2,1128.355,88.3912339827881
English casual e F1,539.375,29.640934954889666
English casual e F2,1616.194,36.01060377166703
English casual i F1,297.31,11.367157076419776
English casual i F2,2037.8529999999998,100.37389272614662
English casual u F1,347.844,12.71392087438018
English casual u F2,1399.502,244.7655713861735
English clear a F1,575.495,36.02732469945555
English clear a F2,1005.0110000000001,42.95914441652671
English clear e F1,516.8577777777778,32.77784067790576
English clear e F2,1755.3044444444445,82.26195895648259
English clear i F1,252.955,16.27359348761053
English clear i F2,2219.624,71.56969361398725
English clear u F1,283.477,17.83626701414845
English clear u F2,1148.594,353.3244852313522
French Casual a F1,626.192,49.75738976272771
French Casual a F2,1311.812,115.56664430535311
French Casual e F1,501.46,51.45406674516005
French Casual e F2,1778.043846153846,73.5344284137041
French Casual i F1,266.181,18.181094273997925
French Casual i F2,2141.5119999999997,76.45892960276124
French Casual u F1,301.811,29.506799368959012
French Casual u F2,824.851,232.8158278747388
French clear a F1,644.64,45.49234353163177
French clear a F2,1196.688,138.82909924075716
French clear e F1,528.1938461538462,32.31669002911451
French clear e F2,1764.6707692307693,54.36584143368791
French clear i F1,253.002,16.086707431914085
French clear i F2,2123.958,465.35407168735514
French clear u F1,297.038,12.44609721961066
French clear u F2,714.4860000000001,92.33300062274591
