type,mean,stand dev
English casual a F1,871.3338461538461,37.46708905333021
English casual a F2,1460.2738461538463,266.1228842106438
English casual e F1,769.5728571428572,58.20021740614419
English casual e F2,1964.3085714285714,129.71719562500698
English casual i F1,297.357,12.898366602015935
English casual i F2,2912.2599999999998,48.73999774312674
English casual u F1,362.672,31.533399055604512
English casual u F2,1239.196,320.7188628440803
English clear a F1,871.359,60.5815241554717
English clear a F2,1191.889,54.0734974733464
English clear e F1,802.6688888888889,102.48020594181367
English clear e F2,2045.5944444444442,119.14346162049172
English clear i F1,302.387,15.902058388774707
English clear i F2,2970.259,50.25101341266661
English clear u F1,336.14099999999996,20.955823271825892
English clear u F2,1398.259,353.9948226867167
French Casual a F1,889.226,51.94578851071569
French Casual a F2,1611.595,97.56141975699205
French Casual e F1,716.3407692307693,55.26149730168075
French Casual e F2,2005.1523076923077,59.52434759166221
French Casual i F1,293.0,33.53257759254424
French Casual i F2,2879.143,93.2897255918357
French Casual u F1,326.826,22.1824647864028
French Casual u F2,848.5120000000001,100.59444555242601
French clear a F1,912.3422222222222,44.798061906931686
French clear a F2,1462.721111111111,117.63556240869457
French clear e F1,742.1135714285714,40.65366783788972
French clear e F2,2079.5671428571427,86.4082843604851
French clear i F1,288.639,33.98504802115188
French clear i F2,2829.018,145.76015729958587
French clear u F1,344.183,22.251847136810905
French clear u F2,836.267,84.27268193786169
