type,mean,stand dev
English casual a F1,581.923,40.10843752877941
English casual a F2,1097.532,146.73977741566873
English casual e F1,536.952,119.05452371077716
English casual e F2,1730.1830000000002,125.4432880667595
English casual i F1,299.16999999999996,23.596587041349856
English casual i F2,1984.292,32.84691029609941
English casual u F1,304.50100000000003,29.5579564415404
English casual u F2,992.7370000000001,267.5217154568952
English clear a F1,652.5989999999999,38.33129412112249
English clear a F2,1056.384,78.49912893784236
English clear e F1,554.333,25.477666317777224
English clear e F2,1718.5130000000001,51.974178021398295
English clear i F1,280.851,30.407252901240522
English clear i F2,2115.078,24.735772395459936
English clear u F1,329.207,30.72180367426365
English clear u F2,1053.611,140.16305572082823
French Casual a F1,558.4490909090908,43.01838453806073
French Casual a F2,1298.5990909090908,88.39318910974835
French Casual e F1,462.98692307692306,33.365785650438475
French Casual e F2,1620.7346153846154,66.48259362886877
French Casual i F1,259.32,18.876911823706763
French Casual i F2,2107.8720000000003,82.86945116265697
French Casual u F1,272.815,22.0450004536176
French Casual u F2,822.9040000000001,248.79515832105736
French clear a F1,713.192,43.51317405108479
French clear a F2,1371.086,108.26408215100699
French clear e F1,546.4625,16.57312288264749
French clear e F2,1742.7775000000001,58.84179213860958
French clear i F1,265.798,16.105159918485754
French clear i F2,2162.8940000000002,42.199109990614794
French clear u F1,280.174,33.00922089356245
French clear u F2,849.6790000000001,189.05999214270585
